room_types,room_price,room_number
가족실(침대+온돌),30000,50309
특실,30000,50309
트윈,30000,50309
단체룸A(4인기준),95000,50309
단체룸B(4인기준),125000,50309
일반,50000,50310
일반(온돌),50000,50310
준특실,60000,50310
특실,80000,50310
특실(트윈),80000,50310
퀸201호(2층바다형),60000,50312
퀸202호(2층바다형),60000,50312
퀸203호(2층바다형),60000,50312
퀸204호(2층바다형),60000,50312
퀸205호(2층노자산형),60000,50312
퀸206호(2층노자산형),60000,50312
퀸207호(2층노자산형),60000,50312
퀸208호(2층노자산형),60000,50312
퀸209호(2층노자산형),60000,50312
퀸210호(2층노자산형),60000,50312
퀸501호(5층바다형),80000,50312
퀸502호(5층바다형),80000,50312
퀸503호(5층바다형),80000,50312
퀸504호(5층노자산형),80000,50312
퀸505호(5층노자산형),80000,50312
퀸301호(3층바다형),100000,50312
퀸302호(3층바다형),100000,50312
퀸303호(3층바다형),100000,50312
퀸304호(3층노자산형),100000,50312
퀸305호(3층노자산형),100000,50312
선비방,35000,50313
별채방,35000,50313
마님방,55000,50313
규수방,55000,50313
 , ,50318
PUL 201,80000,50319
PUL 202,80000,50319
PUL 203,80000,50319
PUL 101,130000,50319
PUL 102,130000,50319
PUL 103,130000,50319
PUL 104,130000,50319
SU 102,150000,50319
SU 103,150000,50319
SU 201,170000,50319
SU 101,300000,50319
 LIM 201,350000,50319
LIM 101,400000,50319
아침정원,400000,50321
하나린202,,50322
미리내203,,50322
일반,30000,50326
트윈,35000,50326
VIP,40000,50326
구름,,50332
들꽃,140000,50332
햇살,190000,50332
스탠다드 트리플,440000,50333
 , ,50337
일반(2인기준),30000,50339
특실(2인기준),40000,50339
VIP(2인기준),40000,50339
꽃밭,400000,50341
402(오션뷰),,50344
304(오션뷰),,50344
202(오션뷰),,50344
306,,50344
405,,50344
일반,15000,50346
초특가 할인 객실,15000,50346
특실,20000,50346
트윈,60000,50346
비즈니스룸,70000,50346
"일반:2게임PC(배틀,오버)넷플릭스",22000,50347
VIP:2게임PC.32,27500,50347
VIP트윈:2게임PC.32,30000,50347
특실:2게임PC.32,27500,50347
일반실(온돌),50000,50349
일반실(침대),50000,50349
VIP,90000,50349
VVIP,120000,50349
일반,20000,50352
커플PC,20000,50352
특실,25000,50352
특실 (페이백),,50352
일반,20000,50355
특실,25000,50355
스탠다드,17000,50356
PC+넷플릭스,17000,50356
오션뷰더블(2인),,50357
오션뷰패밀리트윈(3인),,50357
오션뷰온돌(2인),,50357
일반,20000,50369
게임룸,25000,50369
커플PC,25000,50369
VIP룸(안마의자 수리중),30000,50369
일반(ANNE  Event),35000,50369
일반 (페이백),,50369
오늘의 특가(넷플릭스),20000,50370
중간객실(넷플릭스),23000,50370
테라스객실(넷플릭스),23000,50370
넓은객실(넷플릭스),25000,50370
일반객실(넷플릭스),20000,50370
얼리체크인 2PM(일반객실)(넷플릭스),45000,50370
얼리체크인 2PM(넓은객실)(넷플릭스),55000,50370
[2인 조식 패키지] 디럭스 더블,70600,50373
[성인&소아 조식 패키지] 디럭스 패밀리 트윈,82400,50373
[PIC! 여행 패키지] 디럭스 더블 (조식+장기주차5일),94130,50373
[PIC! 여행 패키지] 디럭스 패밀리 트윈 (조식+장기주차5일),105900,50373
[조식&와인 패키지] M 스위트,190600,50373
[PIC! 여행 패키지] M 스위트 (조식+장기주차5일),214120,50373
노천스파3층(랜덤배정),,50374
 , ,50375
일반실A(5성급 호텔침구류),20000,50376
"일반실B(5성급 호텔침구류,LG 퓨리케어공기청정기)",20000,50376
"안마의자(5성급 호텔침구류, LG 안마의자)",25000,50376
"게이밍룸(5성급 호텔침구류,커플PC,넷플릭스)",25000,50376
"트윈룸(5성급 호텔침구류, LG 퓨리케어공기청정기)",25000,50376
패밀리룸(5인기준),59000,50377
싱글룸(전용욕실),29000,50378
여성전용싱글룸(전용욕실),29000,50378
